ID,Period,Date,First,Second,Third,Fourth,Fifth,Sixth,Special
441,101030,2012-04-12,6,26,27,30,32,35,2
442,101031,2012-04-16,3,4,13,18,25,27,1
443,101032,2012-04-19,5,10,12,26,35,38,2
444,101033,2012-04-23,1,11,16,17,19,35,5
445,101034,2012-04-26,2,3,4,14,17,35,1
446,101035,2012-04-30,3,5,18,22,27,37,1
447,101036,2012-05-03,4,9,10,15,17,34,3
448,101037,2012-05-07,2,13,18,22,23,25,4
449,101038,2012-05-10,14,20,21,25,32,37,3
450,101039,2012-05-14,4,5,6,16,18,28,1
451,101040,2012-05-17,6,15,21,25,28,29,4
452,101041,2012-05-21,11,13,19,23,31,38,3
453,101042,2012-05-24,1,6,10,12,29,36,4
454,101043,2012-05-28,7,16,17,22,31,35,2
455,101044,2012-05-31,3,7,15,17,21,34,8
456,101045,2012-06-04,4,15,18,29,34,38,4
457,101046,2012-06-07,8,12,20,27,29,30,1
458,101047,2012-06-11,7,17,22,26,29,33,7
459,101048,2012-06-14,3,14,15,16,20,36,5
460,101049,2012-06-18,8,13,14,21,24,34,6
461,101050,2012-06-21,4,16,26,28,37,38,1
462,101051,2012-06-25,1,15,16,24,26,30,5
463,101052,2012-06-28,15,16,25,31,35,37,4
464,101053,2012-07-02,3,7,21,35,37,38,3
465,101054,2012-07-05,2,4,6,17,29,38,8
466,101055,2012-07-09,1,6,8,30,32,35,6
467,101056,2012-07-12,10,15,20,22,34,36,5
468,101057,2012-07-16,12,19,23,36,37,38,6
469,101058,2012-07-19,14,23,25,26,30,31,3
470,101059,2012-07-23,5,12,18,33,34,37,2
471,101060,2012-07-26,2,7,10,11,19,33,1
472,101061,2012-07-30,3,10,18,24,29,37,7
473,101062,2012-08-02,18,21,27,29,30,37,4
474,101063,2012-08-06,9,12,17,18,27,33,4
475,101064,2012-08-09,2,3,23,25,27,33,1
476,101065,2012-08-13,5,10,17,22,35,37,5
477,101066,2012-08-16,11,13,14,16,36,38,5
478,101067,2012-08-20,5,14,17,20,23,30,6
479,101068,2012-08-23,1,5,11,16,21,31,8
480,101069,2012-08-27,3,6,16,23,25,37,7
481,101070,2012-08-30,1,2,8,9,22,36,5
482,101071,2012-09-03,1,12,14,17,24,27,3
483,101072,2012-09-06,7,13,23,32,34,36,3
484,101073,2012-09-10,2,9,17,20,35,38,7
485,101074,2012-09-13,1,4,5,14,17,26,8
486,101075,2012-09-17,1,6,7,10,21,27,5
487,101076,2012-09-20,4,11,14,18,21,34,2
488,101077,2012-09-24,4,7,19,20,24,30,1
489,101078,2012-09-27,11,13,15,27,29,32,3
490,101079,2012-10-01,7,11,14,16,19,34,5
491,101080,2012-10-04,2,16,17,19,24,28,5
492,101081,2012-10-08,7,29,31,32,35,36,7
493,101082,2012-10-11,1,6,12,23,28,34,2
494,101083,2012-10-15,9,12,16,18,28,29,7
495,101084,2012-10-18,2,8,15,19,22,29,4
496,101085,2012-10-22,5,10,14,19,21,24,5
497,101086,2012-10-25,3,4,7,19,28,30,8
498,101087,2012-10-29,12,13,26,30,36,38,8
499,101088,2012-11-01,6,7,12,15,24,38,3
500,101089,2012-11-05,1,10,12,15,30,33,6
501,101090,2012-11-08,8,10,18,22,25,33,7
502,101091,2012-11-12,1,8,21,24,31,33,8
503,101092,2012-11-15,3,11,12,27,32,35,2
504,101093,2012-11-19,2,6,28,29,32,37,4
505,101094,2012-11-22,8,22,26,27,36,38,8
506,101095,2012-11-26,4,5,8,18,23,29,2
507,101096,2012-11-29,3,6,11,16,21,35,2
508,101097,2012-12-03,5,9,11,14,22,30,8
509,101098,2012-12-06,1,5,10,12,21,24,8
510,101099,2012-12-10,4,6,15,20,22,38,7
511,101100,2012-12-13,6,8,14,27,28,33,1
512,101101,2012-12-17,3,12,24,27,32,34,4
513,101102,2012-12-20,1,24,26,29,32,38,7
514,101103,2012-12-24,1,7,10,14,29,30,4
