ID,Period,Date,First,Second,Third,Fourth,Fifth,Sixth,Special
319,100012,2011-02-10,36,32,13,10,30,37,2
320,100013,2011-02-14,8,11,23,38,19,25,5
321,100014,2011-02-17,4,11,20,26,12,38,7
322,100015,2011-02-21,38,19,35,28,23,9,1
323,100016,2011-02-24,26,14,8,13,16,3,5
324,100017,2011-02-28,13,14,5,29,26,18,7
325,100018,2011-03-03,15,17,27,35,23,1,7
326,100019,2011-03-07,16,37,30,10,2,33,4
327,100020,2011-03-10,24,5,31,4,19,37,8
328,100021,2011-03-14,6,4,11,18,5,26,4
329,100022,2011-03-17,32,1,36,14,11,3,2
330,100023,2011-03-21,8,17,33,37,20,18,2
331,100024,2011-03-24,37,27,4,35,19,29,4
332,100025,2011-03-28,27,24,7,34,16,3,8
333,100026,2011-03-31,19,38,17,36,31,32,4
334,100027,2011-04-04,25,37,33,32,28,2,8
335,100028,2011-04-07,20,30,6,31,14,12,1
336,100029,2011-04-11,33,29,21,15,16,31,4
337,100030,2011-04-14,18,27,17,24,15,25,6
338,100031,2011-04-18,5,7,17,23,26,6,7
339,100032,2011-04-21,26,34,32,36,10,1,8
340,100033,2011-04-25,17,26,22,12,3,2,1
341,100034,2011-04-28,29,3,32,31,9,34,5
342,100035,2011-05-02,17,36,21,22,7,19,3
343,100036,2011-05-05,5,38,13,6,14,26,5
344,100037,2011-05-09,36,31,25,3,15,35,3
345,100038,2011-05-12,10,25,31,30,19,24,7
346,100039,2011-05-16,3,29,37,8,21,17,8
347,100040,2011-05-19,16,38,19,35,2,6,8
348,100041,2011-05-23,11,24,26,13,16,8,4
349,100042,2011-05-26,8,30,21,19,6,12,8
350,100043,2011-05-30,32,10,30,22,37,2,4
351,100044,2011-06-02,22,4,1,30,19,33,4
352,100045,2011-06-06,37,22,38,36,16,10,4
353,100046,2011-06-09,12,37,15,36,3,13,3
354,100047,2011-06-13,9,7,11,18,36,31,1
355,100048,2011-06-16,25,8,29,15,38,33,1
356,100049,2011-06-20,27,10,6,22,4,34,2
357,100050,2011-06-23,26,20,28,36,30,3,5
358,100051,2011-06-27,33,4,23,15,6,35,3
359,100052,2011-06-30,35,30,15,17,19,38,1
360,100053,2011-07-04,17,5,37,1,12,31,6
361,100054,2011-07-07,22,19,37,2,7,33,1
362,100055,2011-07-11,32,14,2,12,28,4,2
363,100056,2011-07-14,2,31,10,33,12,37,1
364,100057,2011-07-18,13,29,37,30,32,3,6
365,100058,2011-07-21,1,7,19,20,21,26,7
366,100059,2011-07-25,22,8,23,5,20,18,1
367,100060,2011-07-28,6,35,19,1,34,25,8
368,100061,2011-08-01,34,27,22,19,14,31,7
369,100062,2011-08-04,6,14,33,17,24,23,1
370,100063,2011-08-08,34,7,27,38,8,37,1
371,100064,2011-08-11,25,18,29,8,6,1,5
372,100065,2011-08-15,15,14,35,11,30,2,7
373,100066,2011-08-18,7,6,37,8,5,32,3
374,100067,2011-08-22,12,21,25,3,37,2,4
375,100068,2011-08-25,8,16,1,36,14,13,7
376,100069,2011-08-29,15,6,22,35,10,29,1
377,100070,2011-09-01,11,13,2,29,10,27,2
378,100071,2011-09-05,27,36,26,16,7,33,4
379,100072,2011-09-08,21,15,6,8,4,12,7
380,100073,2011-09-12,6,4,36,32,7,17,7
381,100074,2011-09-15,21,17,34,3,18,1,7
382,100075,2011-09-19,11,24,25,37,7,38,3
383,100076,2011-09-22,27,23,38,11,20,22,2
384,100077,2011-09-26,5,18,37,19,15,24,6
385,100078,2011-09-29,33,15,37,1,36,34,8
386,100079,2011-10-03,13,27,1,4,35,16,8
387,100080,2011-10-06,20,24,12,18,14,27,2
388,100081,2011-10-10,9,34,8,25,20,19,2
389,100082,2011-10-13,17,18,6,27,25,34,6
390,100083,2011-10-17,19,29,37,36,33,10,1
391,100084,2011-10-20,38,30,5,20,26,22,4
392,100085,2011-10-24,2,15,31,30,12,25,6
393,100086,2011-10-27,16,12,5,10,28,23,7
394,100087,2011-10-31,20,27,8,6,23,14,3
395,100088,2011-11-03,13,26,37,36,27,22,5
396,100089,2011-11-07,1,26,8,23,34,27,3
397,100090,2011-11-10,8,23,32,35,19,27,8
398,100091,2011-11-14,21,11,24,34,20,18,5
399,100092,2011-11-17,24,14,3,13,30,1,6
400,100093,2011-11-21,14,13,32,11,25,12,8
401,100094,2011-11-24,5,16,32,13,4,37,7
402,100095,2011-11-28,35,18,20,9,33,4,4
403,100096,2011-12-01,3,16,35,19,26,31,3
404,100097,2011-12-05,21,32,4,33,6,9,2
405,100098,2011-12-08,21,8,2,37,35,5,8
406,100099,2011-12-12,31,21,7,19,27,10,5
407,100100,2011-12-15,9,27,7,28,29,1,2
408,100101,2011-12-19,10,35,25,29,6,14,3
409,100102,2011-12-22,22,23,20,11,13,4,2
410,100103,2011-12-26,24,17,9,35,1,19,5
411,100104,2011-12-29,3,19,7,4,15,10,5
412,101001,2012-01-02,6,11,26,30,10,27,4
413,101002,2012-01-05,31,32,15,28,10,18,4
414,101003,2012-01-09,25,34,9,2,30,27,5
415,101004,2012-01-12,15,23,3,30,32,21,7
416,101005,2012-01-16,36,18,11,33,37,7,6
417,101006,2012-01-19,8,7,3,13,18,11,6
418,101007,2012-01-23,8,36,6,29,24,23,8
419,101008,2012-01-26,38,2,4,19,16,9,1
420,101009,2012-01-30,27,38,17,20,11,18,5
421,101010,2012-02-02,29,14,4,8,1,3,7
422,101011,2012-02-06,38,4,14,20,7,23,3
423,101012,2012-02-09,37,28,20,6,12,25,8
424,101013,2012-02-13,9,29,24,4,15,35,8
425,101014,2012-02-16,16,29,7,23,24,34,5
426,101015,2012-02-20,9,2,22,14,1,12,2
427,101016,2012-02-23,35,37,13,19,8,30,7
428,101017,2012-02-27,23,20,4,12,3,10,4
429,101018,2012-03-01,1,4,15,7,16,9,6
